date,date_md,mode,win,kills,deaths,assists,honor
2026-09-21,09/21,竞技模式,1,7,7,6,
2026-09-19,09/19,竞技模式,1,21,12,8,MVP
2026-09-18,09/18,竞技模式,1,10,14,3,
2026-09-18,09/18,竞技模式,0,17,21,8,
2026-09-17,09/17,竞技模式,0,17,16,1,
2026-09-17,09/17,竞技模式,1,12,13,16,
2026-09-16,09/16,竞技模式,1,11,12,12,
2026-09-16,09/16,竞技模式,0,12,21,6,
2026-09-16,09/16,竞技模式,0,5,16,4,
2026-09-14,09/14,竞技模式,1,16,16,2,
2026-09-12,09/12,竞技模式,1,25,21,9,
2026-09-12,09/12,竞技模式,1,24,11,5,MVP
2026-09-11,09/11,竞技模式,0,24,15,9,SVF
2026-09-10,09/10,竞技模式,1,13,18,5,
2026-09-10,09/10,竞技模式,1,16,15,13,
2026-09-10,09/10,竞技模式,1,19,5,6,MVP
2026-09-09,09/09,竞技模式,0,23,19,8,SVF
2026-09-09,09/09,竞技模式,1,11,11,3,
2026-09-09,09/09,竞技模式,0,6,20,6,
2026-09-08,09/08,竞技模式,0,13,21,6,
2026-09-08,09/08,竞技模式,1,16,15,11,
2026-09-07,09/07,竞技模式,1,18,14,8,
2026-09-07,09/07,竞技模式,1,19,7,11,
2026-09-07,09/07,竞技模式,1,21,14,9,
2026-09-06,09/06,竞技模式,0,23,22,6,
2026-09-03,09/03,竞技模式,1,19,13,7,MVP
2026-09-03,09/03,竞技模式,1,22,18,7,
2026-09-02,09/02,竞技模式,0,13,16,3,
2026-09-02,09/02,竞技模式,0,17,17,6,SVF
2026-09-01,09/01,竞技模式,0,21,18,7,
2026-09-01,09/01,竞技模式,0,12,19,7,
2026-08-31,08/31,竞技模式,0,7,13,2,
2026-08-31,08/31,竞技模式,1,10,11,12,
2026-08-31,08/31,竞技模式,0,6,12,4,
2026-08-31,08/31,竞技模式,0,19,17,9,
2026-08-31,08/31,竞技模式,1,20,11,5,
2026-08-28,08/28,竞技模式,1,23,15,10,
2026-08-28,08/28,竞技模式,1,13,7,10,
2026-08-28,08/28,竞技模式,0,26,20,7,
2026-08-24,08/24,竞技模式,1,9,14,6,
2026-08-24,08/24,竞技模式,0,20,18,10,
2026-08-18,08/18,竞技模式,0,12,21,10,
2026-08-18,08/18,竞技模式,1,18,8,4,
2026-08-15,08/15,竞技模式,1,27,18,9,MVP
2026-08-15,08/15,竞技模式,0,18,18,5,
2026-08-12,08/12,竞技模式,1,19,15,6,
2026-08-12,08/12,竞技模式,1,11,10,4,
2026-08-12,08/12,竞技模式,1,22,15,4,
2026-08-12,08/12,竞技模式,1,11,4,2,
2026-08-12,08/12,竞技模式,1,24,5,5,MVP
2026-08-12,08/12,竞技模式,0,15,18,10,
2026-08-12,08/12,竞技模式,1,24,11,9,
2026-08-11,08/11,竞技模式,0,26,14,13,SVF
2026-08-07,08/07,竞技模式,0,10,16,14,
2026-08-07,08/07,竞技模式,0,8,18,6,
2026-08-07,08/07,竞技模式,1,18,17,2,
2026-08-06,08/06,竞技模式,0,11,19,7,
2026-08-06,08/06,竞技模式,1,11,17,4,
2026-08-06,08/06,竞技模式,0,11,21,5,
2026-08-05,08/05,竞技模式,0,10,13,4,
2026-08-05,08/05,竞技模式,0,8,16,6,
2026-08-05,08/05,竞技模式,1,15,10,4,
2026-07-31,07/31,竞技模式,0,27,18,17,
2026-07-29,07/29,竞技模式,0,8,17,2,
2026-07-27,07/27,竞技模式,0,17,21,6,
2026-07-27,07/27,竞技模式,1,14,17,8,
2026-07-27,07/27,竞技模式,0,13,18,11,
2026-07-27,07/27,竞技模式,0,18,21,7,
2026-07-27,07/27,竞技模式,1,15,17,6,
2026-07-24,07/24,竞技模式,1,23,11,5,MVP
2026-07-24,07/24,竞技模式,0,26,27,5,
2026-07-24,07/24,竞技模式,0,29,18,6,SVF
2026-07-24,07/24,竞技模式,1,19,19,12,
