date,datetime,win,map_code,map_name,agent,agent_en,tier_before,tier_after,rr_earned,rr_after,rounds_played,rounds_won,kills,deaths,assists,kda_ratio,score,headshots,bodyshots,legshots,headshot_rate,damage,adr,kast,economy_score,first_kills,plants,defuses,clutches,aces,thrifty,flawless,triple_kills,quadra_kills,penta_kills,duration_min,match_mvp,team_mvp,svp
2026-09-21,2026-09-21 20:57:31,1,Ascent,亚海悬城,捷风,Jett,11,11,22,63,15,13,7,7,6,1.857,2092,3,29,0,0.429,1413,94.2,0,31,1,2,0,0,0,0,1,0,0,0,21.86,0,0,0
2026-09-19,2026-09-19 00:07:46,1,Juliett,日落之城,暮蝶,Clove,11,11,25,41,17,13,21,12,8,2.417,6266,16,54,1,0.762,4175,245.6,0,87,2,0,0,0,0,0,2,1,2,0,30.65,1,0,0
2026-09-18,2026-09-18 23:23:55,1,Jam,莲华古城,芮娜,Reyna,11,11,16,16,18,13,10,14,3,0.929,3308,3,38,2,0.3,2170,120.6,0,51,1,0,0,0,0,0,0,0,0,0,29.26,0,0,0
2026-09-18,2026-09-18 19:52:00,0,Triad,隐世修所,芮娜,Reyna,11,11,-19,0,23,10,17,21,8,1.19,5060,14,42,0,0.824,3752,163.1,0,60,6,1,0,0,0,0,0,2,0,0,40.82,0,0,0
2026-09-17,2026-09-17 21:31:24,0,Infinity,幽邃地窟,尚勃勒,Chamber,11,11,-16,18,20,7,17,16,1,1.125,4591,8,31,3,0.471,3113,155.7,0,36,3,0,2,0,0,0,0,2,0,0,35.58,0,0,0
2026-09-17,2026-09-17 20:47:04,1,Jam,莲华古城,迷核,Miks,11,11,16,34,20,13,12,13,16,2.154,3621,3,38,2,0.25,2013,100.7,0,22,0,0,0,0,0,0,0,0,0,0,32.38,0,0,0
2026-09-16,2026-09-16 22:17:47,1,Plummet,天枢云阙,迷核,Miks,11,11,18,18,18,13,11,12,12,1.917,3514,5,32,1,0.455,2339,129.9,0,58,2,0,0,0,0,0,2,0,0,0,30.19,0,0,0
2026-09-16,2026-09-16 21:44:57,0,Juliett,日落之城,尚勃勒,Chamber,11,11,-19,0,24,11,12,21,6,0.857,3800,5,31,0,0.417,2154,89.8,0,23,1,1,0,0,0,0,0,0,0,0,41.34,0,0,0
2026-09-16,2026-09-16 15:40:51,0,Bonsai,霓虹町,不死鸟,Phoenix,11,11,-24,6,19,6,5,16,4,0.562,2052,3,33,6,0.6,1885,99.2,0,32,1,0,0,0,0,0,1,0,0,0,29.98,0,0,0
2026-09-14,2026-09-14 16:42:50,1,Infinity,幽邃地窟,捷风,Jett,11,11,20,30,21,13,16,16,2,1.125,4466,8,34,7,0.5,2686,127.9,0,40,3,0,1,0,0,0,1,1,0,0,37.0,0,0,0
